cohort_month,cohort_customers,month_offset,active_customers,retention_pct
2023-01-01,3,0,3,100.0
2023-01-01,3,1,1,33.3
2023-01-01,3,3,1,33.3
2023-01-01,3,4,3,100.0
2023-01-01,3,5,1,33.3
2023-01-01,3,6,1,33.3
2023-01-01,3,7,2,66.7
2023-01-01,3,9,2,66.7
2023-01-01,3,10,2,66.7
2023-01-01,3,12,2,66.7
2023-01-01,3,13,1,33.3
2023-01-01,3,14,1,33.3
2023-01-01,3,15,1,33.3
2023-01-01,3,16,3,100.0
2023-01-01,3,17,1,33.3
2023-01-01,3,18,2,66.7
2023-01-01,3,19,1,33.3
2023-01-01,3,20,3,100.0
2023-01-01,3,21,2,66.7
2023-01-01,3,23,3,100.0
2023-02-01,87,0,87,100.0
2023-02-01,87,1,33,37.9
2023-02-01,87,2,43,49.4
2023-02-01,87,3,36,41.4
2023-02-01,87,4,37,42.5
2023-02-01,87,5,37,42.5
2023-02-01,87,6,35,40.2
2023-02-01,87,7,41,47.1
2023-02-01,87,8,43,49.4
2023-02-01,87,9,47,54.0
2023-02-01,87,10,32,36.8
2023-02-01,87,11,36,41.4
2023-02-01,87,12,35,40.2
2023-02-01,87,13,37,42.5
2023-02-01,87,14,40,46.0
2023-02-01,87,15,35,40.2
2023-02-01,87,16,37,42.5
2023-02-01,87,17,43,49.4
2023-02-01,87,18,39,44.8
2023-02-01,87,19,36,41.4
2023-02-01,87,20,46,52.9
2023-02-01,87,21,42,48.3
2023-02-01,87,22,87,100.0
2023-03-01,72,0,72,100.0
2023-03-01,72,1,26,36.1
2023-03-01,72,2,26,36.1
2023-03-01,72,3,24,33.3
2023-03-01,72,4,35,48.6
2023-03-01,72,5,28,38.9
2023-03-01,72,6,31,43.1
2023-03-01,72,7,31,43.1
2023-03-01,72,8,27,37.5
2023-03-01,72,9,39,54.2
2023-03-01,72,10,23,31.9
2023-03-01,72,11,32,44.4
2023-03-01,72,12,25,34.7
2023-03-01,72,13,24,33.3
2023-03-01,72,14,34,47.2
2023-03-01,72,15,26,36.1
2023-03-01,72,16,22,30.6
2023-03-01,72,17,23,31.9
2023-03-01,72,18,25,34.7
2023-03-01,72,19,32,44.4
2023-03-01,72,20,28,38.9
2023-03-01,72,21,54,75.0
2023-04-01,84,0,84,100.0
2023-04-01,84,1,34,40.5
2023-04-01,84,2,39,46.4
2023-04-01,84,3,40,47.6
